泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
ร้านนวดอยู่ตรงข้ามเซเว่น	raan nuat yuu trong kham sewen	按摩店在7-11對面	初 3-1	นวด
ถนน	thanon	馬路	初 3-1	ถนน
ข้ามถนน	khaam thanon	過馬路	初 3-1	ถนน
พาฉันไปสนามบินดอนเมือง	pha chan pai sanam bin don mueang	帶我去廊曼機場	初 3-2	สนาม
พาไปสนามบิน	pha pai sanam bin	帶去機場	初 3-2	สนาม
สนามบินดอนเมือง	sanam bin don mueang	廊曼機場	初 3-2	สนาม
ไปสนามบินดอนเมือง	pai sanam bin don mueang	去廊曼機場	初 3-2	สนาม
ร้านนวดอยู่ด้านขวา	raan nuat yuu daan khwa	按摩店在右邊	初 3-2	นวด
ร้านนวดอยู่ที่ไหน	raan nuat yuu thi nai	按摩店在哪裡	初 3-2	นวด
ชั้นบนมี3ห้อง	chan bon mi 3 hong	樓上有3個房間	初 3-2	3
ห้องใหญ่2ห้อง	hong yai 2 hong	大房間 2 間	初 3-2	2
ห้องเล็ก1ห้อง	hong lek 1 hong	小房間 1 間	初 3-2	1
ร้านนวดอยู่ตรงข้ามร้านหนังสือ	raan nuat yuu trong kham raan nang sue	按摩店在書店對面	初 3-2	นวด
ร้านยาอยู่ตรงข้ามร้านนวด	raan ya yuu trong kham raan nuat	藥局在按摩店對面	初 3-2	นวด
ข้ามถนน	kham thanon	過馬路	初 3-2	ถนน
ข้ามถนนดูมือถือไม่ได้	kham thanon du mue thue mai dai	過馬路 不能看手機	初 3-2	ถนน
ข้ามถนนต้องดูซ้ายดูขวา	kham thanon tong du saai du khwa	過馬路 得看左看右	初 3-2	ถนน
6นาที	6 na tee	6分鐘	初 3-2	6
เดินตรงไป6นาที	dern trong pai 6 na tee	直走6分鐘	初 3-2	6
ในตู้เย็นมีน้ำ2ขวด	nai tu yen mi nam 2 khuad	冰箱裡有兩瓶水	初 3-2	2, ขวด
ดูละครไทย	du lakorn thai	看泰劇	初 3-2	คร
พวกเราใจตรงกัน	phuak rao jai trong kan	我們心意相通	初 3-2	พวก
ข้ามถนน	kham thanon	過馬路	初 3-2	ถนน
เดินข้ามถนน	dern kham thanon	走路過馬路	初 3-2	ถนน
บนถนน	bon thanon	在路上	初 3-2	ถนน
บนถนนมีรถเยอะ	bon thanon mi rot yoe	路上有很多車	初 3-2	ถนน
ฟู้ดคอร์ทอยู่ที่ไหน	fut khot yuu thi nai	美食廣場在哪裡？	初 3-2	ท
ในตู้เย็นมีน้ำ2ขวด	nai tu yen mi nam 2 khuat	冰箱裡有兩瓶水	初 3-2	2, ขวด
ดูละครไทย	duu lakhon thai	看泰劇	初 3-2	คร
พวกเราใจตรงกัน	phuak rao jai trong kan	我們心意相通	初 3-2	พวก
ข้ามถนน	kham thanon	過馬路	初 3-2	ถนน
เดินข้ามถนน	dern kham thanon	走路過馬路	初 3-2	ถนน
บนถนน	bon thanon	在路上	初 3-2	ถนน
บนถนนมีรถเยอะ	bon thanon mi rot yoe	路上有很多車	初 3-2	ถนน
ฟู้ดคอร์ทอยู่ที่ไหน	fut khot yuu thi nai	美食廣場在哪裡？	初 3-2	ท
ห้างเซ็นทรัล	haang central	Central百貨	初 3-2	ทรัล
โรงแรมอยู่ใกล้BTS	rong raem yuu glai BTS	飯店在BTS附近	初 3-2	BTS
ฟู้ดคอร์ท	fut khot	美食街	初 3-2	ท
จุฬาใกล้แถวสยาม	chula glai thaeo sayam	朱拉在Siam附近	初 3-2	สยาม
บ้านผมใกล้แถวกู่ถิง	baan phom glai thaeo gu-thing	我家在古亭附近	初 3-2	ง
ช่วยกดชั้น8ให้หน่อย	chuai kot chan 8 hai noi	請幫我按8樓	初 3-2	8, กด
ตง	tong	直、正 (口語發音)	初 3-3	ตง
พวกเราใจตรงกัน	phuak rao jai trong kan	我們想的一樣 (心意相通)	初 3-3	พวก
เดินข้ามถนน	dern kham thanon	走過馬路	初 3-3	ถนน
ถนน	thanon	馬路	初 3-3	ถนน
ต้องขี่บนถนน	tong khi bon thanon	得騎在路上	初 3-3	ถนน
พวกเราลงเครื่องบินแล้ว	phuak rao long khrueng bin laew	我們下飛機了	初 3-3	พวก
ช่วย กด ชั้น 8 ให้ หน่อย	chuai kot chan 8 hai noi	請幫我按8樓	初 3-3	กด
ช่วย กด ชั้น 5 ให้ หน่อย	chuai kot chan 5 hai noi	請幫我按5樓	初 3-3	กด
ติด ละคร ไทย	tid lakorn thai	沉迷泰劇	初 3-3	คร
เพราะ ว่า ติด ละคร ไทย ก็ เลย มา เรียน ภาษา ไทย	phro wa tid lakorn thai ko loi maa rian phasaa thai	因為沉迷泰劇，所以才來學泰文	初 3-3	คร, เพราะ
อยู่ แถว ห้วย ขวาง	yuu thaeo huai khwang	在匯狂一帶	初 3-3	ห้วย
ของ ใน ตู้ เย็น ทั้ง หมด กิน ได้ นะ คะ	khong nai tu yen thang mot kin dai na kha	冰箱裡的東西全部可以吃	初 3-3	หมด
ทั้ง หมด กิน ได้ นะ คะ	thang mot kin dai na kha	全部可以吃	初 3-3	หมด
หลัง โรงแรม มี ร้าน นวด	lang rong raem mi raan nuat	飯店後面有按摩店	初 3-3	นวด
วันจันทร์ ว่างไหม	wan chan waang mai	星期一有空嗎？	初 3-3	จันทร์
วันพฤหัส ว่างไหม	wan pha-rue-hat waang mai	星期四有空嗎？	初 3-3	พฤ
แล้วจะกลับมาเมื่อไหร่	laew ja klap maa muea-rai	那麼什麼時候要回來？	初 3-3	วจะ
วันจันทร์	wan chan	星期一	初 3-3	จันทร์
จันทร์นี้	chan nii	這個星期一 (口語)	初 3-3	จันทร์
วันจันทร์นี้	wan chan nii	這個星期一	初 3-3	จันทร์
วันพฤหัสบดี	wan pha-rue-hat ba-di	星期四 (完整)	初 3-3	บดี, พฤ
พฤหัส	pha-rue-hat	星期四 (簡稱)	初 3-3	พฤ
จันทร์ อังคาร พุธ พฤหัส ศุกร์ เสาร์	chan angkhan phut pha-rue-hat suk sao	一、二、三、四、五、六 (口語)	初 3-3	จันทร์, พฤ
วันนี้ วันจันทร์	wan-ni wan chan	今天是星期一	初 3-3	จันทร์
วันนี้ วันพฤหัสบดี	wan-ni wan pha-rue-hat ba-di	今天是星期四 (完整)	初 3-3	บดี, พฤ
วันนี้ วันพฤหัส	wan-ni wan pha-rue-hat	今天是星期四 (簡稱)	初 3-3	พฤ
วันจันทร์ สีเหลือง	wan chan si lueang	星期一黃色	初 3-3	จันทร์
วันอังคาร สีชมพู	wan angkhan si chomphu	星期二粉紅色	初 3-3	ชม
วันพฤหัส สีส้ม	wan pha-rue-hat si som	星期四橘色	初 3-3	พฤ
วันเสาร์ สีม่วง	wan sao si muang	星期六紫色	初 3-3	ม่วง
จันทร์ ถึง ศุกร์	chan thueng suk	週一到週五	初 3-3	จันทร์
วัน จันทร์ ถึง วัน ศุกร์	wan chan thueng wan suk	週一到週五 (完整)	初 3-3	จันทร์
สวัสดี ปี ใหม่	sawasdi pii mai	新年快樂	初 3-3	สวัส
มกราคม	makkara khom	一月 (名稱)	初 3-3	คม, มก
เดือน มกราคม	duean makkara khom	一月份	初 3-3	คม, มก
มีนาคม	mi na khom	三月 (名稱)	初 3-3	คม
เมษายน	me sa yon	四月 (名稱)	初 3-3	ยน
พฤษภาคม	phruet sa pha khom	五月 (名稱)	初 3-3	คม, พฤษ
มิถุนายน	mi thu na yon	六月 (名稱)	初 3-3	ยน
กรกฎาคม	kara kada khom	七月 (名稱)	初 3-3	กรก, คม
สิงหาคม	sing ha khom	八月 (名稱)	初 3-3	คม
กันยายน	kan ya yon	九月 (名稱)	初 3-3	ยน
ตุลาคม	tu la khom	十月 (名稱)	初 3-3	คม
พฤศจิกายน	phruet sa ji ka yon	十一月 (名稱)	初 3-3	พฤศ, ยน
ธันวาคม	than wa khom	十二月 (名稱)	初 3-3	คม
คม	khom	(大月結尾)	初 3-3	คม
ยน	yon	(小月結尾)	初 3-3	ยน
มกรา	makkaraa	一月 (口語)	初 3-3	มก
พฤษภา	phrue sa phaa	五月 (口語)	初 3-3	พฤษ
กรกฎา	karakadaa	七月 (口語)	初 3-3	กรก
สวัสดี ค่ะ	sawasdi kha	再見 (女)	初 3-3	สวัส
วันจันทร์	wan jan	星期一	初 3-4	จันทร์
วันจันทร์ สีเหลือง	wan jan see lueng	星期一 黃色	初 3-4	จันทร์
วันอังคาร สีชมพู	wan angkhan see chomphoo	星期二 粉紅色	初 3-4	ชม
วันพฤหัสบดี	wan pha rue hat sa bo dee	星期四	初 3-4	บดี, พฤ
พฤหัส สีส้ม	pha rue hat see som	星期四 橘色	初 3-4	พฤ
พฤหัส	pha rue hat	星期四 (簡稱)	初 3-4	พฤ
วันเสาร์ สีม่วง	wan sao see muang	星期六 紫色	初 3-4	ม่วง
พวกเขา ถึงไต้หวัน วันอะไร	phuak kao thueng taiwan wan arai	他們星期幾到台灣	初 3-4	พวก
พวกเขา ถึงไต้หวัน วันพุธ	phuak kao thueng taiwan wan pood	他們星期三到台灣	初 3-4	พวก
ไม่ชอบวันจันทร์	mai chob wan jan	不喜歡星期一	初 3-4	จันทร์
ทำไมไม่ชอบวันจันทร์	thammai mai chob wan jan	為什麼不喜歡星期一	初 3-4	จันทร์
เพราะว่า วันจันทร์ ต้องทำงาน	phraw wa wan jan tong tham ngan	因為星期一要上班	初 3-4	จันทร์, เพราะ
วันพฤหัส ไปข้างนอกกับแฟน	wan pha rue hat bpai khang nok gap faen	星期四要跟女朋友去外面	初 3-4	พฤ
วันพฤหัส ต้องไปว่ายน้ำ	wan pha rue hat tong bpai wai nam	星期四得去游泳	初 3-4	พฤ
วันศุกร์ กินข้าวกับเพื่อนร่วมงาน	wan sook kin khao gap phuean ruam ngan	星期五跟同事吃飯	初 3-4	ร่วม
อยู่บ้าน ดูละคร	yuu baan du lakorn	在家看劇	初 3-4	คร
วันเสาร์ อยู่บ้าน ดูละคร	wan sao yuu baan du lakorn	星期六在家看劇	初 3-4	คร
สวัสดีปีใหม่	sawasdee pee mai	新年快樂	初 3-4	สวัส
พวกเรา ไปดูหนังกัน	phuak rao bpai du nang gan	我們去看電影吧	初 3-4	พวก
อาทิตย์นี้ ว่างวันไหน พวกเรา ไปดูหนังกัน	atit nee wang wan nai phuak rao bpai du nang gan	這個星期哪天有空？我們去看電影吧	初 3-4	พวก
เดือนมกราคม	duean mokkara khom	一月	初 3-4	คม, มก
มกรา เจอกัน	mokkara joe gan	一月見面	初 3-4	มก
เดือนมีนาคม	duean mee na khom	三月	初 3-4	คม
เดือนเมษายน	duean may sa yon	四月	初 3-4	ยน
เดือนพฤษภาคม	duean phruet sa phakhom	五月	初 3-4	คม, พฤษ
เดือนมิถุนายน	duean mi thu na yon	六月	初 3-4	ยน
เดือนกรกฎาคม	duean ka ra ga da khom	七月	初 3-4	กรก, คม
เดือนสิงหาคม	duean sing ha khom	八月	初 3-4	คม
เดือนกันยายน	duean gan ya yon	九月	初 3-4	ยน
เดือนตุลาคม	duean tu la khom	十月	初 3-4	คม
เดือนพฤศจิกายน	duean phruet sa chi ka yon	十一月	初 3-4	พฤศ, ยน
เดือนธันวาคม	duean than wa khom	十二月	初 3-4	คม
เดือนเมษายน ร้อนที่สุด	duean may sa yon ron tee soot	四月最熱	初 3-4	ยน
เดือนธันวาคม หนาวไหม	duean than wa khom nao mai	十二月很冷嗎？	初 3-4	คม
ที่ไต้หวัน เดือนธันวาคม หนาวไหม	tee taiwan duean than wa khom nao mai	在台灣十二月冷嗎？	初 3-4	คม
เมื่อวาน ฝนตก	muea wan fon tok	昨天 下雨	初 3-4	ฝน
พรุ่งนี้ ไปไหนคะ	phrung nee bpai nai kha	明天 去哪裡呢？	初 3-4	น
วันจันทร์นี้	wan jan nee	這個星期一	初 3-4	จันทร์
วันจันทร์ ที่แล้ว	wan jan tee laew	上個星期一	初 3-4	จันทร์
วันจันทร์ หน้า	wan jan naa	下個星期一	初 3-4	จันทร์
ชาติ	chat	輩子/ชาติ	初 3-4	ชาติ
ชาติ ที่แล้ว	chat tee laew	上輩子	初 3-4	ชาติ
ชาติ ที่แล้ว เป็นอะไร	chat tee laew pen arai	上輩子 是什麼	初 3-4	ชาติ
ชาติ ที่แล้ว เป็นคนไทย	chat tee laew pen khon thai	上輩子 是泰國人	初 3-4	ชาติ
ชาติ ที่แล้ว เป็นคนไทย ชาตินี้ ก็เลย มาเรียนภาษาไทย	chat tee laew pen khon thai chat nee go loei ma rian phasa thai	上輩子是泰國人，這輩子才來學泰文	初 3-4	ชาติ
ชาติหน้า	chat naa	下輩子	初 3-4	ชาติ
อาหารเช้า กินก๋วยเตี๋ยว	ahan chao kin kuay tiao	早餐 吃粿條	初 3-4	ก๋วย
ต้นเดือน	ton duean	月初	初 3-4	ต้น
ต้น	ton	初/開始	初 3-4	ต้น
ต้นปี	ton pee	年初	初 3-4	ต้น
ต้นปี เย็นสบาย	ton pee yen sabai	年初 涼爽舒服	初 3-4	ต้น
ต้นทาง	ton thang	起點	初 3-4	ต้น
ต้องไปหาหมอทุก ๆ 2 เดือน	tong bpai haa maw tuk song duean	每兩個月得去看醫生	初 3-4	ๆ
