泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
องุ่นสีเขียว	a-ngun see khieow	aˇ ngunˋ sīˊ kīauˊ	綠葡萄	derived	
องุ่นสีแดง	a-ngun see daeng	aˇ ngunˋ sīˊ dhɛ̄ng	紅葡萄	derived	
องุ่นสีดำ	a-ngun see dam	aˇ ngunˋ sīˊ dham	黑葡萄	derived	
ตำรวจ	tam-ruat	dam rūatˋ	警察	engine-auto	
สีชมพู	see chomphoo	sīˊ chom pū	粉紅色	derived	
ธง	thong	tong	旗子	derived	
ธงสีรุ้ง	thong see rung	tong sīˊ rung~	彩虹旗	derived	
ฝนตก	fon tok	fonˊ dokˇ	下雨	derived	
วันนี้ฝนตก	wan nee fon tok	wan nī~ fonˊ dokˇ	今天下雨	derived	
ฝนตกก็ต้องไปทำงาน	fon tok gor dtong bpai tam ngaan	fonˊ dokˇ gɔ̄ˋ dɔ̄ngˋ bai tam ngān	下雨也得去工作	derived	
ที่ไทยฝนตกไหม	tee thai fon tok mai	tīˋ tai fonˊ dokˇ maiˊ	泰國下雨嗎？	derived	
ฝนตกไหม	fon tok mai	fonˊ dokˇ maiˊ	下雨嗎？	derived	
ฝนไม่ตก	fon mai tok	fonˊ maiˋ dokˇ	沒下雨	derived	
ฝนตกหนัก	fon tok nak	fonˊ dokˇ nakˇ	下大雨	derived	
นวดหนักหน่อย	nuat nak noi	nūatˋ nakˇ nɔ̄iˇ	按重一點	engine-auto	
นวดหนักๆ หน่อย	nuat nak nak noi	nūatˋ nakˇ nakˇ nɔ̄iˇ	按重一點	engine-auto	
หมอนวด	mor nuat	mɔ̄ˊ nūatˋ	按摩師	engine-auto	
นวดเบาๆ หน่อย	nuat bao bao noi	nūatˋ bhāu bhāu nɔ̄iˇ	按輕一點	engine-auto	
ขวดเล็ก	kuad lek	kūatˇ lek~	小瓶	derived	
ขวดเล็กเท่าไหร่	kuad lek tao-rai	kūatˇ lek~ tāuˋ raiˇ	小瓶多少錢？	derived	
ละคร	la-korn	la~ kɔ̄n	戲劇	derived	
ละครเก่า	la-korn gao	la~ kɔ̄n gāuˇ	舊的戲劇	derived	
ฉันไปรับคุณที่สนามบิน	chan bpai rap khun tee sa-naam-bin	chanˊ bai rap~ kun tīˋ saˇ nām bhin	我去機場接你	derived	
มีรถรับส่งไหม	mee rot rap song mai	mī rot~ rap~ songˇ maiˊ	有接駁車嗎？	derived	
มีรถรับส่งสนามบินไหม	mee rot rap song sa-naam-bin mai	mī rot~ rap~ songˇ saˇ nām bhin maiˊ	有機場接駁車嗎？	derived	
มีรถรับส่งตลาดน้ำไหม	mee rot rap song talaat nam mai	mī rot~ rap~ songˇ daˇ lātˋ nām~ maiˊ	有水上市場的接駁車嗎？	derived	
บริษัท	baw-ri-sat	bhɔ̄ ri~ satˇ	公司	derived	
บริษัทใหญ่	baw-ri-sat yai	bhɔ̄ ri~ satˇ yaiˇ	大公司	derived	
คุณทำงานบริษัทอะไร	khun tam-ngaan baw-ri-sat a-rai	kun tam ngān bhɔ̄ ri~ satˇ aˇ rai	你在哪家(什麼)公司工作？	derived	
คุณทำงานบริษัทไหน	khun tam-ngaan baw-ri-sat nai	kun tam ngān bhɔ̄ ri~ satˇ naiˊ	你在哪家公司工作？	derived	
บริษัทชื่ออะไร	baw-ri-sat chue a-rai	bhɔ̄ ri~ satˇ chɯ̄ˋ aˇ rai	公司叫什麼名字？	derived	
ละคร	la-korn	la~ kɔ̄n	戲劇	derived	
ละครผู้ใหญ่	la-korn phu yai	la~ kɔ̄n pūˋ yaiˇ	成人戲劇	derived	
ละครเด็ก	la-korn dek	la~ kɔ̄n dhekˇ	兒童戲劇	derived	
เพราะว่าชอบดูละครไทย ก็เลยมาเรียนภาษาไทย	phro-wa chop du la-korn thai gor loey maa rian phasa thai	prɔ~ wāˋ chɔ̄pˋ dhū la~ kɔ̄n tai gɔ̄ˋ lə̄i mā rīan pā sāˊ tai	因為喜歡看泰劇，所以就來學泰文	derived	
ละครเรื่องนี้	la-korn reuang nee	la~ kɔ̄n rɯ̄angˋ nī~	這部戲劇	derived	
ละครเรื่องนี้สนุกมาก	la-korn reuang nee sa-nuk mak	la~ kɔ̄n rɯ̄angˋ nī~ saˇ nuk~ mākˋ	這部戲劇很好看	derived	
พวกเขาเป็นดาราไทย	phuak khao bpen da-ra thai	pūakˋ kāuˊ ben dhā rā tai	他們是泰國明星	engine-auto	
รวมกัน	ruam kan	rūam gan	混在一起	engine-auto	
รวม	ruam	rūam	混合	engine-auto	
ผัดผักรวมมิตร	phat phak ruam mit	patˇ pakˇ rūam mit~	什錦炒菜	derived	
สีขาวกับสีดำ รวมกันเป็นสีเทา	see khaw gap see dam ruam kan bpen see thao	sīˊ kāuˊ gapˇ sīˊ dham rūam gan ben sīˊ tāu	白色和黑色混在一起變成灰色	engine-auto	
สีม่วง	see muang	sīˊ mūangˋ	紫色	engine-auto	
ม่วง	muang	mūangˋ	紫	engine-auto	
องุ่น	a-ngun	aˇ ngunˋ	葡萄	derived	
องุ่นสีม่วง	a-ngun see muang	aˇ ngunˋ sīˊ mūangˋ	紫葡萄	derived	
องุ่นสีเขียว	a-ngun see khieow	aˇ ngunˋ sīˊ kīauˊ	綠葡萄	derived	
องุ่นสีแดง	a-ngun see daeng	aˇ ngunˋ sīˊ dhɛ̄ng	紅葡萄	derived	
องุ่นสีดำ	a-ngun see dam	aˇ ngunˋ sīˊ dham	黑葡萄	derived	
ตำรวจ	tam-ruat	dam rūatˋ	警察	engine-auto	
สีชมพู	see chomphoo	sīˊ chom pū	粉紅色	derived	
ธง	thong	tong	旗子	derived	
ธงสีรุ้ง	thong see rung	tong sīˊ rung~	彩虹旗	derived	
สแกนก็ได้	sa-kaen gor dai	saˇ gɛ̄n gɔ̄ˋ dhaiˋ	也可以掃描	derived	
สแกน	sa-kaen	saˇ gɛ̄n	掃描	derived	
หนังสือภาษาอังกฤษ	nang-seu phasa ang-grit	nangˊ sɯ̄ˊ pā sāˊ ang gritˇ	英文書	derived	
แต่ถุงพลาสติกต้องเสียเงิน	tae thung phlaas-tik dtong sia ngern	dɛ̄ˇ tungˊ plā saˇ dikˇ dɔ̄ngˋ sīaˊ ngə̄n	但是塑膠袋要付錢	derived	
ถุงพลาสติก	thung phlaas-tik	tungˊ plā saˇ dikˇ	塑膠袋	derived	
เปิดขวด	bpeut khuat	bə̄tˇ kūatˇ	開瓶	derived	
พวกคุณคุยเรื่องอะไรกัน	phuak khun kui reuang a-rai gan	pūakˋ kun kui rɯ̄angˋ aˇ rai gan	你們在聊什麼事情？	engine-auto	
พวกเราคุยกันไม่รู้เรื่อง	phuak rao kui gan mai ru reuang	pūakˋ rāu kui gan maiˋ rū~ rɯ̄angˋ	我們雞同鴨講	engine-auto	
ละครเรื่องไหน	la-korn reuang nai	la~ kɔ̄n rɯ̄angˋ naiˊ	哪一部戲劇？	derived	
ละครเรื่องไหนสนุก	la-korn reuang nai sa-nuk	la~ kɔ̄n rɯ̄angˋ naiˊ saˇ nuk~	哪一部戲劇有趣？	derived	
จมูก	ja-mook	jaˇ mūkˋ	鼻子	derived	
จมูกโต	ja-mook dto	jaˇ mūkˋ dō	大鼻子	derived	
จมูกเล็ก	ja-mook lek	jaˇ mūkˋ lek~	小鼻子	derived	
อเมริกาโน่	a-me-ri-ga-no	aˇ mē ri~ gā nōˋ	美式咖啡	derived	
ขวดใหญ่	kuat yai	kūatˇ yaiˇ	大瓶	derived	
เอาเบียร์ขวดใหญ่	ao bia kuat yai	au bhīa kūatˇ yaiˇ	要大瓶啤酒	derived	
ขวดเล็ก	kuat lek	kūatˇ lek~	小瓶	derived	
ขวดใหญ่หรือขวดเล็ก	kuat yai rue kuat lek	kūatˇ yaiˇ rɯ̄ˊ kūatˇ lek~	大瓶還是小瓶？	derived	
รถรับส่ง	rot rap song	rot~ rap~ songˇ	接駁車 / 接送	derived	
ส่ง	song	songˇ	送	derived	
มีรถรับส่งไหมคะ	mee rot rap song mai kha	mī rot~ rap~ songˇ maiˊ ka~	有接駁車嗎？	derived	
มีรถรับส่งไปสนามบินไหม	mee rot rap song bpai sa-naam-bin mai	mī rot~ rap~ songˇ bai saˇ nām bhin maiˊ	有接駁車去機場嗎？	derived	
มีรถรับส่งสนามบินไหม	mee rot rap song sa-naam-bin mai	mī rot~ rap~ songˇ saˇ nām bhin maiˊ	有機場接駁車嗎？	derived	
มีรถรับส่งไปสนามบินค่ะ	mee rot rap song bpai sa-naam-bin kha	mī rot~ rap~ songˇ bai saˇ nām bhin kaˋ	有接駁車去機場	derived	
ดูละครไทย	duu la-korn thai	dhū la~ kɔ̄n tai	看泰劇	derived	
ข้ามถนน	kham thanon	kāmˋ taˇ non	過馬路	derived	
ร้านนวดอยู่ตรงข้ามเซเว่น	raan nuat yuu trong kham sewen	rān~ nūatˋ yūˋ drong kāmˋ sē wēnˋ	按摩店在7-11對面	engine-auto	
ถนน	thanon	taˇ non	馬路	derived	
ข้ามถนน	khaam thanon	kāmˋ taˇ non	過馬路	derived	
พาฉันไปสนามบินดอนเมือง	pha chan pai sanam bin don mueang	pā chanˊ bai saˇ nām bhin dhɔ̄n mɯ̄ang	帶我去廊曼機場	derived	
พาไปสนามบิน	pha pai sanam bin	pā bai saˇ nām bhin	帶去機場	derived	
สนามบินดอนเมือง	sanam bin don mueang	saˇ nām bhin dhɔ̄n mɯ̄ang	廊曼機場	derived	
ไปสนามบินดอนเมือง	pai sanam bin don mueang	bai saˇ nām bhin dhɔ̄n mɯ̄ang	去廊曼機場	derived	
ร้านนวดอยู่ด้านขวา	raan nuat yuu daan khwa	rān~ nūatˋ yūˋ dhānˋ kwāˊ	按摩店在右邊	engine-auto	
ร้านนวดอยู่ที่ไหน	raan nuat yuu thi nai	rān~ nūatˋ yūˋ tīˋ naiˊ	按摩店在哪裡	engine-auto	
ชั้นบนมี3ห้อง	chan bon mi 3 hong	chan~ bhon mī3 hɔ̄ngˋ	樓上有3個房間	engine-auto	
ห้องใหญ่2ห้อง	hong yai 2 hong	hɔ̄ngˋ yaiˇ2 hɔ̄ngˋ	大房間 2 間	engine-auto	
ห้องเล็ก1ห้อง	hong lek 1 hong	hɔ̄ngˋ lek~1 hɔ̄ngˋ	小房間 1 間	engine-auto	
ร้านนวดอยู่ตรงข้ามร้านหนังสือ	raan nuat yuu trong kham raan nang sue	rān~ nūatˋ yūˋ drong kāmˋ rān~ nangˊ sɯ̄ˊ	按摩店在書店對面	engine-auto	
ร้านยาอยู่ตรงข้ามร้านนวด	raan ya yuu trong kham raan nuat	rān~ yā yūˋ drong kāmˋ rān~ nūatˋ	藥局在按摩店對面	engine-auto	
ข้ามถนน	kham thanon	kāmˋ taˇ non	過馬路	derived	
ข้ามถนนดูมือถือไม่ได้	kham thanon du mue thue mai dai	kāmˋ taˇ non dhū mɯ̄ tɯ̄ˊ maiˋ dhaiˋ	過馬路 不能看手機	derived	
ข้ามถนนต้องดูซ้ายดูขวา	kham thanon tong du saai du khwa	kāmˋ taˇ non dɔ̄ngˋ dhū sāi~ dhū kwāˊ	過馬路 得看左看右	derived	
6นาที	6 na tee	6 nā tī	6分鐘	engine-auto	
เดินตรงไป6นาที	dern trong pai 6 na tee	dhə̄n drong bai6 nā tī	直走6分鐘	engine-auto	
ในตู้เย็นมีน้ำ2ขวด	nai tu yen mi nam 2 khuad	nai dūˋ yen mī nām~2 kūatˇ	冰箱裡有兩瓶水	derived	
ดูละครไทย	du lakorn thai	dhū la~ kɔ̄n tai	看泰劇	derived	
พวกเราใจตรงกัน	phuak rao jai trong kan	pūakˋ rāu jai drong gan	我們心意相通	engine-auto	
ข้ามถนน	kham thanon	kāmˋ taˇ non	過馬路	derived	
เดินข้ามถนน	dern kham thanon	dhə̄n kāmˋ taˇ non	走路過馬路	derived	
บนถนน	bon thanon	bhon taˇ non	在路上	derived	
บนถนนมีรถเยอะ	bon thanon mi rot yoe	bhon taˇ non mī rot~ yə~	路上有很多車	derived	
ในตู้เย็นมีน้ำ2ขวด	nai tu yen mi nam 2 khuat	nai dūˋ yen mī nām~2 kūatˇ	冰箱裡有兩瓶水	derived	
ดูละครไทย	duu lakhon thai	dhū la~ kɔ̄n tai	看泰劇	derived	
พวกเราใจตรงกัน	phuak rao jai trong kan	pūakˋ rāu jai drong gan	我們心意相通	engine-auto	
ข้ามถนน	kham thanon	kāmˋ taˇ non	過馬路	derived	
เดินข้ามถนน	dern kham thanon	dhə̄n kāmˋ taˇ non	走路過馬路	derived	
บนถนน	bon thanon	bhon taˇ non	在路上	derived	
บนถนนมีรถเยอะ	bon thanon mi rot yoe	bhon taˇ non mī rot~ yə~	路上有很多車	derived	
ห้างเซ็นทรัล	haang central	hāngˋ sen tal	Central百貨	derived	
โรงแรมอยู่ใกล้BTS	rong raem yuu glai BTS	rōng rɛ̄m yūˋ glaiˋBTS	飯店在BTS附近	engine-auto	
จุฬาใกล้แถวสยาม	chula glai thaeo sayam	juˇ lā glaiˋ tɛ̄uˊ saˇ yāˊ	朱拉在Siam附近	derived	
ช่วยกดชั้น8ให้หน่อย	chuai kot chan 8 hai noi	chūayˋ gotˇ chan~8 haiˋ nɔ̄iˇ	請幫我按8樓	derived	
พวกเราใจตรงกัน	phuak rao jai trong kan	pūakˋ rāu jai drong gan	我們想的一樣 (心意相通)	engine-auto	
เดินข้ามถนน	dern kham thanon	dhə̄n kāmˋ taˇ non	走過馬路	derived	
ถนน	thanon	taˇ non	馬路	derived	
ต้องขี่บนถนน	tong khi bon thanon	dɔ̄ngˋ kīˇ bhon taˇ non	得騎在路上	derived	
พวกเราลงเครื่องบินแล้ว	phuak rao long khrueng bin laew	pūakˋ rāu long krɯ̄angˋ bhin lɛ̄u~	我們下飛機了	engine-auto	
ช่วย กด ชั้น 8 ให้ หน่อย	chuai kot chan 8 hai noi	chūayˋ gotˇ chan~ 8 haiˋ nɔ̄iˇ	請幫我按8樓	derived	
ช่วย กด ชั้น 5 ให้ หน่อย	chuai kot chan 5 hai noi	chūayˋ gotˇ chan~ 5 haiˋ nɔ̄iˇ	請幫我按5樓	derived	
ติด ละคร ไทย	tid lakorn thai	ditˇ la~ kɔ̄n tai	沉迷泰劇	derived	
เพราะ ว่า ติด ละคร ไทย ก็ เลย มา เรียน ภาษา ไทย	phro wa tid lakorn thai ko loi maa rian phasaa thai	prɔ~ wāˋ ditˇ la~ kɔ̄n tai gɔ̄ˋ lə̄i mā rīan pā sāˊ tai	因為沉迷泰劇，所以才來學泰文	derived	
อยู่ แถว ห้วย ขวาง	yuu thaeo huai khwang	yūˋ tɛ̄uˊ hūayˋ kwāngˊ	在匯狂一帶	derived	
ของ ใน ตู้ เย็น ทั้ง หมด กิน ได้ นะ คะ	khong nai tu yen thang mot kin dai na kha	kɔ̄ngˊ nai dūˋ yen tang~ motˇ gin dhaiˋ na~ ka~	冰箱裡的東西全部可以吃	derived	
ทั้ง หมด กิน ได้ นะ คะ	thang mot kin dai na kha	tang~ motˇ gin dhaiˋ na~ ka~	全部可以吃	derived	
หลัง โรงแรม มี ร้าน นวด	lang rong raem mi raan nuat	langˊ rōng rɛ̄m mī rān~ nūatˋ	飯店後面有按摩店	engine-auto	
วันจันทร์ ว่างไหม	wan chan waang mai	wan jan wāngˋ maiˊ	星期一有空嗎？	derived	
วันพฤหัส ว่างไหม	wan pha-rue-hat waang mai	wan prɯ hatˇ wāngˋ maiˊ	星期四有空嗎？	derived	
แล้วจะกลับมาเมื่อไหร่	laew ja klap maa muea-rai	lɛ̄~ jaˇ glapˇ mā mɯ̄aˋ raiˇ	那麼什麼時候要回來？	derived	
วันจันทร์	wan chan	wan jan	星期一	derived	
จันทร์นี้	chan nii	jan nī~	這個星期一 (口語)	derived	
วันจันทร์นี้	wan chan nii	wan jan nī~	這個星期一	derived	
วันพฤหัสบดี	wan pha-rue-hat ba-di	wan prɯ hatˇ bɔ̄ dhī	星期四 (完整)	derived	
พฤหัส	pha-rue-hat	prɯ hatˇ	星期四 (簡稱)	derived	
จันทร์ อังคาร พุธ พฤหัส ศุกร์ เสาร์	chan angkhan phut pha-rue-hat suk sao	jan ang kān put~ prɯ hatˇ sukˇ sāuˊ	一、二、三、四、五、六 (口語)	derived	
วันนี้ วันจันทร์	wan-ni wan chan	wan nī~ wan jan	今天是星期一	derived	
วันนี้ วันพฤหัสบดี	wan-ni wan pha-rue-hat ba-di	wan nī~ wan prɯ hatˇ bɔ̄ dhī	今天是星期四 (完整)	derived	
วันนี้ วันพฤหัส	wan-ni wan pha-rue-hat	wan nī~ wan prɯ hatˇ	今天是星期四 (簡稱)	derived	
วันจันทร์ สีเหลือง	wan chan si lueang	wan jan sīˊ lɯ̄angˊ	星期一黃色	derived	
วันอังคาร สีชมพู	wan angkhan si chomphu	wan ang kān sīˊ chom pū	星期二粉紅色	derived	
วันพฤหัส สีส้ม	wan pha-rue-hat si som	wan prɯ hatˇ sīˊ somˋ	星期四橘色	derived	
วันเสาร์ สีม่วง	wan sao si muang	wan sāuˊ sīˊ mūangˋ	星期六紫色	engine-auto	
จันทร์ ถึง ศุกร์	chan thueng suk	jan tɯngˊ sukˇ	週一到週五	derived	
วัน จันทร์ ถึง วัน ศุกร์	wan chan thueng wan suk	wan jan tɯngˊ wan sukˇ	週一到週五 (完整)	derived	
สวัสดี ปี ใหม่	sawasdi pii mai	saˇ watˇ dhī bī maiˇ	新年快樂	derived	
มกราคม	makkara khom	mok~ rā kom	一月 (名稱)	derived	
เดือน มกราคม	duean makkara khom	dhɯ̄an mok~ rā kom	一月份	derived	
มีนาคม	mi na khom	mī nā kom	三月 (名稱)	derived	
เมษายน	me sa yon	mē sāˊ yon	四月 (名稱)	derived	
พฤษภาคม	phruet sa pha khom	prɯt~ pā kom	五月 (名稱)	derived	
มิถุนายน	mi thu na yon	mi~ tuˇ nā yon	六月 (名稱)	derived	
กรกฎาคม	kara kada khom	gaˇ ra~ dā kom	七月 (名稱)	derived	
สิงหาคม	sing ha khom	singˊ hāˊ kom	八月 (名稱)	derived	
กันยายน	kan ya yon	gan yā yon	九月 (名稱)	derived	
ตุลาคม	tu la khom	duˇ lā kom	十月 (名稱)	derived	
พฤศจิกายน	phruet sa ji ka yon	prɯt~ jiˇ gā yon	十一月 (名稱)	derived	
ธันวาคม	than wa khom	tan wā kom	十二月 (名稱)	derived	
คม	khom	kom	(大月結尾)	derived	
ยน	yon	yon	(小月結尾)	derived	
มกรา	makkaraa	mok~ rā	一月 (口語)	derived	
พฤษภา	phrue sa phaa	prɯt~ pā	五月 (口語)	derived	
กรกฎา	karakadaa	gaˇ ra~ dā	七月 (口語)	derived	
สวัสดี ค่ะ	sawasdi kha	saˇ watˇ dhī kaˋ	再見 (女)	derived	
วันจันทร์	wan jan	wan jan	星期一	derived	
วันจันทร์ สีเหลือง	wan jan see lueng	wan jan sīˊ lɯ̄angˊ	星期一 黃色	derived	
วันอังคาร สีชมพู	wan angkhan see chomphoo	wan ang kān sīˊ chom pū	星期二 粉紅色	derived	
วันพฤหัสบดี	wan pha rue hat sa bo dee	wan prɯ hatˇ bɔ̄ dhī	星期四	derived	
พฤหัส สีส้ม	pha rue hat see som	prɯ hatˇ sīˊ somˋ	星期四 橘色	derived	
